#id RA DEC X Y F115W F115W_err F150W F150W_err F200W F200W_err F277W F277W_err F356W F356W_err F410M F410M_err F444W F444W_err
45 215.0274021 52.9807399 7272.3931 4309.2832 26.7022 0.0844 26.2903 0.0573 26.6843 0.0377 0.0 0.0 25.818 0.0481 0.0 0.0 26.343 0.0821
46 215.0284539 52.9814835 7386.2876 4309.5933 0.0 0.0 28.3058 0.1302 28.0143 0.1064 26.8253 0.0493 26.9867 0.045 26.8903 0.1078 27.0993 0.0897
47 215.0460224 52.9939615 9293.7334 4310.0522 0.0 0.0 0.0 0.0 28.7321 0.1494 27.3705 0.0677 27.6294 0.0709 26.9634 0.0732 27.9172 0.1013
48 215.0319127 52.9840032 7767.4492 4304.9893 0.0 0.0 26.9021 0.1108 0.0 0.0 25.6601 0.0339 26.4545 0.0392 25.829 0.0707 25.9805 0.0811
49 215.0476491 52.9952724 9484.1777 4298.3325 25.4299 0.0124 24.5613 0.0068 24.8319 0.0072 23.6255 0.0046 23.7927 0.0054 23.9001 0.0106 24.0025 0.0084
50 215.0340136 52.986086 8048.1084 4260.5425 19.9773 0.0006 19.605 0.0004 19.2457 0.0003 17.9978 0.0002 18.4055 0.0002 18.3855 0.0003 18.5233 0.0002
51 214.9991248 52.960875 4221.272 4290.4082 0.0 0.0 0.0 0.0 0.0 0.0 27.5274 0.1412 27.5085 0.0853 25.9341 0.0563 23.9408 0.0038
52 215.0404692 52.9902998 8715.9629 4288.6973 0.0 0.0 28.2583 0.1244 27.6038 0.0745 26.8975 0.0426 27.0727 0.0477 26.9132 0.0718 27.0845 0.0632
53 215.0389832 52.9896929 8594.5381 4254.8574 23.8618 0.0071 23.1938 0.0037 22.4813 0.002 20.4153 0.0006 20.1329 0.0005 20.0203 0.0006 20.0025 0.0005
54 215.0235807 52.9784637 6896.4385 4276.0679 27.0752 0.0897 26.7569 0.1536 25.999 0.034 24.8433 0.0198 24.87 0.0202 25.3162 0.0485 25.0452 0.0262
55 215.0208077 52.9763707 6584.3477 4285.2026 0.0 0.0 0.0 0.0 28.7588 0.1564 27.5227 0.0895 26.9533 0.0771 0.0 0.0 26.8101 0.088
56 214.9848998 52.9511284 2708.1135 4261.6318 20.6134 0.001 20.2074 0.0133 19.674 0.001 18.2081 0.0006 18.0602 0.0003 18.2015 0.0009 18.4081 0.0007
57 215.0290887 52.9824599 7501.9819 4270.0093 0.0 0.0 0.0 0.0 28.0202 0.0969 27.1161 0.0571 26.795 0.0441 27.028 0.1061 26.5379 0.0711
58 215.0256454 52.9800085 7127.5947 4270.2832 26.7809 0.0739 27.1438 0.1068 26.1807 0.0333 25.2581 0.0176 25.2061 0.0162 25.4179 0.0305 25.5394 0.0277
59 215.0226785 52.9779011 6805.4316 4270.1211 0.0 0.0 29.0464 0.2922 28.3118 0.1176 26.6061 0.0571 26.8186 0.0493 0.0 0.0 27.1539 0.0728
60 215.0150508 52.972511 5979.6265 4267.52 28.0626 0.1224 27.8995 0.1392 27.6889 0.0651 26.0217 0.0334 26.2131 0.033 26.6892 0.07 26.3646 0.0645
61 214.9922463 52.9562224 3494.9788 4272.0078 0.0 0.0 0.0 0.0 0.0 0.0 27.449 0.0654 27.6234 0.0856 27.0808 0.0794 26.5944 0.0525
62 215.0325049 52.9848988 7874.0117 4269.2046 0.0 0.0 27.1611 0.0576 27.42 0.0594 26.4809 0.0282 26.7576 0.0345 26.3851 0.0648 27.2553 0.068
63 214.9919044 52.9560179 3461.2561 4269.0688 26.9539 0.0587 26.2157 0.043 25.8739 0.0512 25.1668 0.0275 25.4224 0.0297 26.6849 0.0802 25.2092 0.0264
64 215.0430191 52.9924101 9019.4268 4266.1807 26.6964 0.0774 26.7856 0.0726 27.0465 0.057 25.4448 0.0237 25.8833 0.0321 25.8577 0.0521 25.888 0.048
65 215.0333245 52.9852833 7945.415 4284.1328 0.0 0.0 28.2191 0.1531 28.1571 0.1113 27.8223 0.189 27.4806 0.0739 28.0942 0.1612 27.4185 0.0848
66 215.037138 52.9882034 8378.2891 4268.3018 28.5205 0.154 27.4619 0.1014 28.7415 0.1085 26.2175 0.0545 26.4817 0.0632 27.6851 0.2013 27.6704 0.1278
67 215.0244592 52.9791107 6993.874 4274.3818 24.461 0.019 23.182 0.0105 23.4071 0.0056 21.893 0.003 21.9692 0.0024 22.0829 0.0043 22.0726 0.0036
68 214.9868618 52.9525015 2919.385 4263.4648 0.0 0.0 0.0 0.0 0.0 0.0 27.172 0.0583 27.9071 0.0845 26.8532 0.067 25.9965 0.0437
69 215.0245141 52.9793623 7018.7588 4258.3628 26.4617 0.0417 25.8291 0.0339 25.0676 0.0123 23.5988 0.0054 23.6708 0.0055 23.7492 0.009 23.7411 0.0074
70 214.9817792 52.9489043 2368.4985 4261.728 23.6835 0.0041 23.7327 0.0049 23.7092 0.0061 22.3668 0.0026 22.3396 0.0024 22.3693 0.0057 25.8666 0.0719
71 214.9838971 52.9504119 2598.8203 4261.8081 28.3029 0.0847 28.4604 0.0942 28.7904 0.2309 26.6453 0.043 26.0032 0.0554 26.4344 0.0583 26.4187 0.0446
72 215.0172924 52.9742201 6233.4438 4258.8716 0.0 0.0 27.3768 0.1281 27.6927 0.0968 26.1422 0.05 26.4348 0.0565 26.5506 0.0771 26.3763 0.077
73 215.0276246 52.9810311 7308.4058 4299.251 28.3933 0.1716 27.8854 0.1053 27.8837 0.0741 0.0 0.0 0.0 0.0 0.0 0.0 27.0895 0.1426
74 215.0415724 52.9914718 8870.3027 4259.4321 0.0 0.0 0.0 0.0 0.0 0.0 26.327 0.0777 26.3894 0.085 27.6544 0.2915 26.9425 0.0944
75 215.0164427 52.9732634 6109.7407 4285.4277 27.3961 0.0942 26.9048 0.0837 25.4604 0.0253 24.4374 0.0149 24.1346 0.0167 24.6944 0.0462 24.5784 0.0214
76 215.0488846 52.9967434 9671.0986 4253.5908 27.9611 0.141 28.3296 0.1444 27.4987 0.0899 0.0 0.0 0.0 0.0 26.9806 0.1536 26.965 0.1362
77 215.0466483 52.9955695 9465.1904 4222.3477 23.5514 0.0086 23.3812 0.0085 23.4748 0.0059 21.977 0.0027 21.974 0.0025 22.0842 0.0045 22.1064 0.0036
78 215.0295129 52.9825199 7526.5728 4288.2148 28.0819 0.0955 28.5264 0.1121 28.0501 0.1133 26.4971 0.0627 26.985 0.0634 27.6677 0.1 27.2969 0.0941
79 214.9777319 52.9460775 1933.1611 4257.4653 26.7241 0.0914 26.5101 0.0862 26.9935 0.1066 25.7574 0.0307 25.4667 0.0244 25.9219 0.0522 26.1302 0.0509
80 214.998586 52.9610058 4208.4595 4251.6709 26.6915 0.0625 26.9681 0.0555 26.8084 0.0699 25.6243 0.0589 25.7571 0.0472 25.7298 0.0794 26.484 0.1018
81 214.9926369 52.9567127 3556.344 4256.0283 28.0783 0.1303 28.8076 0.1701 28.1303 0.2204 26.6531 0.0449 26.4379 0.0388 26.5707 0.0585 26.7127 0.1017
82 215.0264925 52.9803903 7200.0054 4286.8955 0.0 0.0 0.0 0.0 27.9174 0.0998 26.4816 0.0575 26.4326 0.0646 0.0 0.0 26.8468 0.0679
